Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22
Page 1,Capa,1,Mônica,Cebolinha,Anjinho,Jonas (cadeirante),,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Mônica,Cebolinha,#tdm_38 Criança 1,#tdm_38 Criança 2,#tdm_38 Criança 3,#tdm_38 Criança 4,#tdm_38 Criança 5,#tdm_38 Criança 6,#tdm_38 Criança 7,#tdm_38 Criança 8,#tdm_38 Criança 9,#tdm_38 Criança 10,#tdm_38 Sombra 1,#tdm_38 Sombra 2,#tdm_38 Sombra 3,#tdm_38 Sombra 4,#tdm_38 Sombra 5,#tdm_38 Sombra 6,#tdm_38 Sombra 7,#tdm_38 Sombra 8,#tdm_38 Sombra 9,#tdm_38 Sombra 10
Page 4,1,1,Mônica,João (irmão de Jonas),,,,,,,,,,,,,,,,,,,,
Page 5,1,1,Mônica,Cebolinha,Sansão,,,,,,,,,,,,,,,,,,,
Page 6,1,1,Mônica,Cebolinha,Sansão,,,,,,,,,,,,,,,,,,,
Page 7,1,1,Mônica,Cebolinha,Sansão,,,,,,,,,,,,,,,,,,,
Page 8.1,1,0.5,Anjinho,Sansão,#tdm_38 Anjo 1,,,,,,,,,,,,,,,,,,,
Page 8.2,1,0.5,Mônica,Cebolinha,Anjinho,Sansão,,,,,,,,,,,,,,,,,,
Page 9,1,1,Mônica,Cebolinha,Anjinho,Sansão,,,,,,,,,,,,,,,,,,
Page 10,1,1,Mônica,Cebolinha,Anjinho,Sansão,,,,,,,,,,,,,,,,,,
Page 11,1,1,Mônica,Cebolinha,Anjinho,Anjoteque,,,,,,,,,,,,,,,,,,
Page 12,1,1,Mônica,Cebolinha,Anjinho,Anjoteque,,,,,,,,,,,,,,,,,,
Page 13,1,1,Mônica,Cebolinha,Anjinho,Anjoteque,,,,,,,,,,,,,,,,,,
Page 14,1,1,Mônica,Cebolinha,Anjinho,,,,,,,,,,,,,,,,,,,
Page 15,1,1,Mônica,Cebolinha,Anjinho,,,,,,,,,,,,,,,,,,,
Page 16,1,1,Mônica,Cebolinha,Anjinho,,,,,,,,,,,,,,,,,,,
Page 17,1,1,Mônica,Cebolinha,Anjinho,,,,,,,,,,,,,,,,,,,
Page 18,1,1,Mônica,Cebolinha,Anjinho,Anjoteque,,,,,,,,,,,,,,,,,,
Page 19,1,1,Mônica,Cebolinha,Anjinho,,,,,,,,,,,,,,,,,,,
Page 20,1,1,Anjinho,Anjoteque,Jonas (cadeirante),João (irmão de Jonas),,,,,,,,,,,,,,,,,,
Page 21,1,1,Mônica,Cebolinha,Anjinho,Jonas (cadeirante),João (irmão de Jonas),,,,,,,,,,,,,,,,,
Page 22,1,1,Mônica,Cebolinha,Anjinho,Anjoteque,Jonas (cadeirante),João (irmão de Jonas),#tdm_38 Anjo 2,#tdm_38 Anjo 3,,,,,,,,,,,,,,
Page 23,1,1,Jonas (cadeirante),,,,,,,,,,,,,,,,,,,,,
Page 24,1,1,Jonas (cadeirante),João (irmão de Jonas),,,,,,,,,,,,,,,,,,,,
